.Presence,125,39,27,12,12,6,3,0,9,24,0,0
AceOw1,914,179,80,20,20,60,0,37,30,112,50,133
Asen2020,18,19,11,3,3,0,0,0,0,8,4,11
BILLY3103,63,8,0,0,0,4,0,0,0,0,4,8
BadgerBerg,218,70,62,6,6,14,0,22,6,51,5,41
BaiXinh0,71,28,20,0,0,8,0,4,8,20,4,12
Bossmt,5,2,1,0,0,0,0,1,0,2,0,0
COMODIN77777,23,8,0,0,0,0,0,0,0,8,4,8
CakeIsALieP,49,19,7,1,1,2,0,0,1,11,3,8
Caperusita75,210,215,0,0,0,0,0,55,0,96,46,114
Cocusharley1,17,9,0,0,0,1,0,3,0,5,2,4
Davidcasas,318,66,41,15,15,9,4,5,10,31,25,56
Jositobierzo,59,40,8,0,0,4,4,4,4,24,12,24
KaikoZzZ,195,44,18,6,6,6,3,0,6,36,9,18
Lilfk3r,51,8,0,0,0,0,0,0,0,0,0,0
Miana36,79,38,0,0,0,5,0,11,0,10,12,40
Miguel0166,33,16,1,0,0,0,0,1,0,3,3,6
Ollopnavi,59,24,0,0,0,0,0,0,0,0,12,30
Paufil,43,28,0,0,0,8,0,12,0,12,4,16
Pelayothebos,157,54,39,3,3,6,0,12,6,30,3,13
Pipomono,20,9,0,0,0,0,0,3,0,1,3,9
Pokver38,64,10,10,3,3,2,0,1,2,3,0,0
RIOBODAS14,11,3,0,0,0,0,0,3,0,3,0,0
Serandino,95,39,18,9,9,15,3,9,12,36,0,12
StrangerTT,71,17,11,1,1,1,0,0,1,6,0,2
Tacpac12345,59,68,28,4,4,16,0,8,12,44,4,28
Tedyliana,1,1,0,1,1,0,0,1,0,2,0,1
Vitico209,163,48,37,3,3,17,0,2,17,34,13,40
Yeromy14,27,10,0,1,1,1,0,2,0,2,4,9
blackchip815,159,51,10,0,0,8,0,12,2,16,21,54
bugui2019,18,14,0,0,0,2,0,3,0,1,3,11
campillero12,7,6,0,0,0,0,0,1,0,4,2,4
filoucelli92,68,12,11,1,1,1,0,0,1,3,1,2
ggrrss,163,91,0,0,0,15,0,11,0,26,24,58
goval02,50,13,8,2,2,1,2,1,2,7,3,8
ilutium,227,54,36,0,0,3,0,0,3,24,0,3
juanharr872,35,16,0,0,0,0,0,0,0,8,0,4
laguero80,159,36,24,0,0,8,8,0,8,20,8,20
lysi94,112,28,0,0,0,0,0,7,0,19,1,2
many418,163,54,0,0,0,6,0,0,0,18,4,37
migmigpt,37,4,4,2,2,0,0,0,0,1,0,0
piticli5,17,6,3,0,0,0,0,0,0,3,0,0
rubenrfcp,230,110,0,0,0,9,0,0,0,31,4,32
saiza,71,12,12,0,0,0,0,0,0,0,0,0
sofiagimenez,43,32,8,0,0,0,4,8,0,16,4,12
sumba83,27,7,2,0,0,1,0,1,0,0,2,7
sutiplay214,17,6,5,1,1,1,0,2,1,4,1,4
